setting,d,gamma_times_d,value_function,n_background,instance,eps,lambda_max,A_max,eta,m_certified,m_empirical,exact_threshold,certified_bound,observed_err,bound_holds,eps_holds,tightness,efficiency_residual,t_budget_s,t_quad_s,t_exact_s
"d=100, wide",100,1.0,neutral,0,7,1e-08,2.6086865144593663,11.444889175510102,8.737524537501078e-10,6,6,50,7.439604664993704e-10,5.7275548692725664e-08,False,False,0.012989146040147108,,0.0004793330008396879,0.0011897080003109295,0.00689612499991199
"d=100, wide",100,1.0,neutral,0,8,0.1,2.0850319641140125,9.488659684436685,0.010538896253600513,3,2,50,0.001304689931811316,8.834979884353444e-06,True,True,147.67322041353972,,0.0003998749998572748,0.0008121249993564561,0.006943459000467556
"d=100, wide",100,1.0,neutral,0,8,0.01,2.0850319641140125,9.488659684436685,0.0010538896253600512,3,2,50,0.001304689931811316,8.834979884353444e-06,True,True,147.67322041353972,,0.0004627920025086496,0.0008336669998243451,0.006943459000467556
"d=100, wide",100,1.0,neutral,0,8,0.001,2.0850319641140125,9.488659684436685,0.00010538896253600513,4,3,50,7.179790594813837e-06,1.7313754527639724e-07,True,True,41.46870965134685,,0.0004384159983601421,0.0009483329995418899,0.006943459000467556
"d=100, wide",100,1.0,neutral,0,8,0.0001,2.0850319641140125,9.488659684436685,1.0538896253600513e-05,4,3,50,7.179790594813837e-06,1.7313754527639724e-07,True,True,41.46870965134685,,0.0004711250003310852,0.0009342500015918631,0.006943459000467556
"d=100, wide",100,1.0,neutral,0,8,1e-06,2.0850319641140125,9.488659684436685,1.0538896253600512e-07,5,4,50,2.3984770869513065e-08,1.0372524039681252e-07,False,True,0.2312336975817712,,0.0005508750000444707,0.0012021250004181638,0.006943459000467556
"d=100, wide",100,1.0,neutral,0,8,1e-08,2.0850319641140125,9.488659684436685,1.0538896253600513e-09,6,6,50,5.3720165423140715e-11,9.519197729720985e-08,False,False,0.000564335009613413,,0.0005059169998276047,0.0011818750026577618,0.006943459000467556
"d=100, wide",100,1.0,neutral,0,9,0.1,2.6245742885266297,17.343621430412963,0.0057658085078266695,3,2,50,0.007467830478409695,2.1011222972378008e-05,True,True,355.42102847735856,,0.0004620830004569143,0.0009391249986947514,0.0070090830013214145
"d=100, wide",100,1.0,neutral,0,9,0.01,2.6245742885266297,17.343621430412963,0.0005765808507826669,3,2,50,0.007467830478409695,2.1011222972378008e-05,True,True,355.42102847735856,,0.0005016249997424893,0.0008076669982983731,0.0070090830013214145
"d=100, wide",100,1.0,neutral,0,9,0.001,2.6245742885266297,17.343621430412963,5.7658085078266686e-05,4,3,50,6.457850281087001e-05,1.1113964437647894e-07,True,True,581.0573101360138,,0.00051299999904586,0.0008937910024542361,0.0070090830013214145
"d=100, wide",100,1.0,neutral,0,9,0.0001,2.6245742885266297,17.343621430412963,5.765808507826669e-06,4,3,50,6.457850281087001e-05,1.1113964437647894e-07,True,True,581.0573101360138,,0.0004523329989751801,0.0008671660034451634,0.0070090830013214145
"d=100, wide",100,1.0,neutral,0,9,1e-06,2.6245742885266297,17.343621430412963,5.765808507826669e-08,5,4,50,3.401940125911813e-07,6.731455669262143e-08,True,True,5.053795632118767,,0.00045325000246521086,0.001022291002300335,0.0070090830013214145
"d=100, wide",100,1.0,neutral,0,9,1e-08,2.6245742885266297,17.343621430412963,5.765808507826669e-10,6,6,50,1.2035796070430527e-09,9.641911308255757e-08,False,False,0.01248279068915002,,0.0005200410014367662,0.0012790000000677537,0.0070090830013214145
"d=100, narrow",100,30.0,neutral,0,0,0.1,41.46756930088668,180.04480078827154,0.000555417315924594,10,6,50,0.05492280492404263,6.483474960261582e-05,True,True,847.1198741519736,,0.0008424590014328714,0.0032241250009974465,0.01565774999835412
