setting,d,gamma_times_d,value_function,lambda_max,m_q,observed_err,certified_bound,efficiency_residual
"d=100, narrow",100,30.0,neutral,41.46756930088668,7,0.01826218367300303,5.494849170093498,0.21385606957772918
"d=100, narrow",100,30.0,neutral,41.46756930088668,8,0.003477634402761165,1.3624379926808745,0.047326220766927385
"d=100, narrow",100,30.0,neutral,41.46756930088668,9,0.0005288853184941544,0.2930434529393886,0.008194176444306756
"d=100, narrow",100,30.0,neutral,41.46756930088668,10,6.483474960261582e-05,0.05492280492404263,0.0011234269905520122
"d=100, narrow",100,30.0,neutral,41.46756930088668,11,6.479001446457744e-06,0.009014325365083127,0.00012327824271274324
"d=100, narrow",100,30.0,neutral,41.46756930088668,12,5.50688554978862e-07,0.0013023021679397487,9.914742600258819e-06
"d=100, narrow",100,30.0,neutral,41.46756930088668,15,1.7060235965593584e-07,1.9222301898257247e-06,2.9623060173733506e-06
"d=100, narrow",100,30.0,neutral,41.46756930088668,18,9.388932270537609e-08,1.0738588617243109e-09,1.2418743544628796e-06
"d=100, narrow",100,30.0,neutral,41.46756930088668,22,9.123004657274336e-08,1.3214142207429555e-14,5.440901675868304e-07
"d=100, narrow",100,30.0,neutral,41.46756930088668,27,1.030290401327072e-07,1.5554396487560114e-21,1.988673052011336e-06
"d=100, narrow",100,30.0,neutral,41.46756930088668,33,1.3188761383009506e-07,7.857570044013585e-31,1.4315536329689849e-06
"d=100, narrow",100,30.0,neutral,41.46756930088668,41,1.1701136276576207e-07,1.3001513274655146e-44,9.714939119831456e-07
"d=100, narrow",100,30.0,neutral,41.46756930088668,50,0.0,0.0,1.3643851461964118e-06
"d=1000, wide",1000,1.0,neutral,2.2823250843459464,1,0.046430881183029654,1.564134368990033,0.1229587604695635
"d=1000, wide",1000,1.0,neutral,2.2823250843459464,2,0.0011036725456776142,0.05187045977373982,0.008063265607674897
"d=1000, wide",1000,1.0,neutral,2.2823250843459464,3,9.970653532365148e-06,0.0006596376206553308,0.00011415333264219729
"d=1000, wide",1000,1.0,neutral,2.2823250843459464,4,5.1517717397642215e-08,4.337228197351226e-06,9.211827296518038e-07
"d=1000, wide",1000,1.0,neutral,2.2823250843459464,5,5.174410894204229e-08,1.7332430505339023e-08,3.5279400456000864e-06
"d=1000, wide",1000,1.0,neutral,2.2823250843459464,6,4.2469840789982616e-08,4.646582946459165e-11,3.5761809348833218e-06
"d=1000, wide",1000,1.0,neutral,2.2823250843459464,7,5.22694940975621e-08,8.929004662846485e-14,4.380727576969168e-06
"d=1000, wide",1000,1.0,neutral,2.2823250843459464,8,4.3800139695737705e-08,1.2896501456520764e-16,4.208899803681554e-07
"d=1000, wide",1000,1.0,neutral,2.2823250843459464,9,5.341427455896053e-08,1.4508243613852946e-19,9.089709977150306e-06
"d=1000, wide",1000,1.0,neutral,2.2823250843459464,10,3.386476232769553e-08,1.3070039605270875e-22,2.884193405383595e-06
"d=1000, wide",1000,1.0,neutral,2.2823250843459464,11,2.6671764165320244e-08,9.640480016660949e-26,4.582230294369882e-06
"d=1000, wide",1000,1.0,neutral,2.2823250843459464,12,2.980767016547148e-08,5.92884619524446e-29,7.324200859692986e-07
"d=1000, wide",1000,1.0,neutral,2.2823250843459464,15,3.1912673382344936e-08,5.330999348011428e-39,4.790347101768511e-07
"d=1000, wide",1000,1.0,neutral,2.2823250843459464,19,3.490994913285528e-08,3.408118155747293e-53,5.6663998463934995e-06
"d=1000, wide",1000,1.0,neutral,2.2823250843459464,25,3.215646915410986e-08,7.983639789990784e-76,3.855908901118088e-06
"d=1000, wide",1000,1.0,neutral,2.2823250843459464,31,2.2715187966704242e-08,1.0213940738626301e-99,5.92927770270979e-07
"d=1000, wide",1000,1.0,neutral,2.2823250843459464,40,2.3414360776630172e-08,2.0929905696746995e-137,8.063271689229268e-08
"d=1000, wide",1000,1.0,neutral,2.2823250843459464,50,3.026157067292923e-08,2.397975305091612e-181,1.2105350794544556e-06
"d=1000, wide",1000,1.0,neutral,2.2823250843459464,64,1.868903288723689e-08,9.858018689809015e-246,1.5388273094663063e-07
"d=1000, wide",1000,1.0,neutral,2.2823250843459464,500,0.0,0.0,2.497434130221965e-06
"d=1000, medium",1000,10.0,neutral,22.175518922273284,1,0.2972350490410912,108.91025836750592,1.0272317858945519
"d=1000, medium",1000,10.0,neutral,22.175518922273284,2,0.2565881350290306,48.439840501871004,0.5704675067043465
"d=1000, medium",1000,10.0,neutral,22.175518922273284,3,0.1274947598683956,16.973177046809774,0.07741834679517345
"d=1000, medium",1000,10.0,neutral,22.175518922273284,4,0.03850214961876647,4.611781981228069,0.1461463429459151
"d=1000, medium",1000,10.0,neutral,22.175518922273284,5,0.0079756443109269,0.9720033592361069,0.05774636657375143
"d=1000, medium",1000,10.0,neutral,22.175518922273284,6,0.0012058895902934408,0.1604962120727423,0.013118722356967316
"d=1000, medium",1000,10.0,neutral,22.175518922273284,7,0.0001384503564569317,0.02106007285392449,0.0020245082026120187
"d=1000, medium",1000,10.0,neutral,22.175518922273284,8,1.2475678712708937e-05,0.0022305192290458177,0.00022742228789840446
"d=1000, medium",1000,10.0,neutral,22.175518922273284,9,1.000888698310387e-06,0.0001936075898149909,1.3981260060580425e-05
"d=1000, medium",1000,10.0,neutral,22.175518922273284,10,1.756072912084683e-07,1.3969721818912e-05,1.794346452976825e-06
"d=1000, medium",1000,10.0,neutral,22.175518922273284,11,4.629096549829681e-08,8.488527057999252e-07,2.4665800342216215e-06
"d=1000, medium",1000,10.0,neutral,22.175518922273284,12,9.435300363236365e-08,4.394681892459655e-08,4.369600540954366e-06
"d=1000, medium",1000,10.0,neutral,22.175518922273284,15,5.622484562650687e-08,2.5766115347291105e-12,9.540782095251998e-06
