d,target_lambda,gamma_times_d,instance,m_q,m_budget_eps,lambda_max,A_max,max_abs_phi,certified,observed,floor,rounding_noise,above_floor,informative,holds,holds_strict,ratio,m_over_lambda
100,40.0,29.145733740690048,3,49,13,42.84237097628373,176.41865458021482,0.7509385045523078,1.3347842823419187e-58,6.861178292183467e-14,1.2989609388114332e-13,6.494804694057166e-14,False,False,True,False,1.9454155328721876e-45,1.1437275501658148
100,40.0,29.145733740690048,4,2,12,37.95381624000058,183.08568353540846,0.9176622380922462,612.0448130785064,0.8986741070935185,1.4299672557172016e-13,7.149836278586008e-14,True,True,True,True,681.0531295465659,0.052695623210931415
100,40.0,29.145733740690048,4,3,12,37.95381624000058,183.08568353540846,0.9176622380922462,299.5435698390274,0.6776138254792403,1.4299672557172016e-13,7.149836278586008e-14,True,True,True,True,442.0564613291001,0.07904343481639711
100,40.0,29.145733740690048,4,4,12,37.95381624000058,183.08568353540846,0.9176622380922462,126.19341643302113,0.3381705727265709,1.4299672557172016e-13,7.149836278586008e-14,True,True,True,True,373.16498421361837,0.10539124642186283
100,40.0,29.145733740690048,4,7,12,37.95381624000058,183.08568353540846,0.9176622380922462,3.639339964295536,0.006850008200642965,1.4299672557172016e-13,7.149836278586008e-14,True,True,True,True,531.2898696900735,0.18443468123825993
100,40.0,29.145733740690048,4,10,12,37.95381624000058,183.08568353540846,0.9176622380922462,0.026047182586107612,1.6331861413032556e-05,1.4299672557172016e-13,7.149836278586008e-14,True,True,True,True,1594.8691901905554,0.26347811605465704
100,40.0,29.145733740690048,4,15,12,37.95381624000058,183.08568353540846,0.9176622380922462,4.619338322324551e-07,1.0164979968863008e-11,1.4299672557172016e-13,7.149836278586008e-14,True,True,True,True,45443.65396168352,0.3952171740819856
100,40.0,29.145733740690048,4,22,12,37.95381624000058,183.08568353540846,0.9176622380922462,1.0760158319305565e-15,2.9531932455029164e-14,1.4299672557172016e-13,7.149836278586008e-14,False,False,True,False,0.03643567293027976,0.5796518553202455
100,40.0,29.145733740690048,4,33,12,37.95381624000058,183.08568353540846,0.9176622380922462,1.0321675836936672e-32,1.8984813721090177e-14,1.4299672557172016e-13,7.149836278586008e-14,False,False,True,False,5.436806485738836e-19,0.8694777829803683
100,40.0,29.145733740690048,4,49,12,37.95381624000058,183.08568353540846,0.9176622380922462,8.652685127917963e-63,7.438494264988549e-14,1.4299672557172016e-13,7.149836278586008e-14,False,False,True,False,1.1632307318759871e-49,1.2910427686678196
100,40.0,29.145733740690048,5,2,12,37.73429919245853,177.28084041922568,1.1464894447123104,589.238102723258,1.1203214715784786,1.7541523789077473e-13,8.770761894538737e-14,True,True,True,True,525.9544850935063,0.05300217687359924
100,40.0,29.145733740690048,5,3,12,37.73429919245853,177.28084041922568,1.1464894447123104,287.5451516944826,0.8314670087126701,1.7541523789077473e-13,8.770761894538737e-14,True,True,True,True,345.82869636605096,0.07950326531039886
100,40.0,29.145733740690048,5,4,12,37.73429919245853,177.28084041922568,1.1464894447123104,120.67807318924949,0.4078079841108968,1.7541523789077473e-13,8.770761894538737e-14,True,True,True,True,295.9188586078124,0.10600435374719848
100,40.0,29.145733740690048,5,7,12,37.73429919245853,177.28084041922568,1.1464894447123104,3.42323590896202,0.007832443553174029,1.7541523789077473e-13,8.770761894538737e-14,True,True,True,True,437.0584844591422,0.18550761905759736
100,40.0,29.145733740690048,5,10,12,37.73429919245853,177.28084041922568,1.1464894447123104,0.02395553566513704,1.622667478362594e-05,1.7541523789077473e-13,8.770761894538737e-14,True,True,True,True,1476.3058965913438,0.2650108843679962
100,40.0,29.145733740690048,5,15,12,37.73429919245853,177.28084041922568,1.1464894447123104,4.059928288473901e-07,8.84192719041721e-12,1.7541523789077473e-13,8.770761894538737e-14,True,True,True,True,45916.780369714084,0.3975163265519943
100,40.0,29.145733740690048,5,22,12,37.73429919245853,177.28084041922568,1.1464894447123104,8.803011099462736e-16,3.6415315207705135e-14,1.7541523789077473e-13,8.770761894538737e-14,False,False,True,False,0.02417392530931629,0.5830239456095917
100,40.0,29.145733740690048,5,33,12,37.73429919245853,177.28084041922568,1.1464894447123104,7.487983307757393e-33,2.398081733190338e-14,1.7541523789077473e-13,8.770761894538737e-14,False,False,True,False,3.122488780978953e-19,0.8745359184143875
100,40.0,29.145733740690048,5,49,12,37.73429919245853,177.28084041922568,1.1464894447123104,5.240135784093451e-63,9.281464485866309e-14,1.7541523789077473e-13,8.770761894538737e-14,False,False,True,False,5.645807072874179e-50,1.2985533334031814
100,40.0,29.145733740690048,6,2,12,40.68794537420877,151.8423834106235,1.0037936582778832,543.418326694997,0.9906468296064479,1.6786572132332367e-13,8.393286066166183e-14,True,True,True,True,548.5489989514018,0.049154607872329614
100,40.0,29.145733740690048,6,3,12,40.68794537420877,151.8423834106235,1.0037936582778832,275.10516772446215,0.7865731087816469,1.6786572132332367e-13,8.393286066166183e-14,True,True,True,True,349.7515547545009,0.07373191180849442
100,40.0,29.145733740690048,6,4,12,40.68794537420877,151.8423834106235,1.0037936582778832,121.14811347310138,0.42147923313814606,1.6786572132332367e-13,8.393286066166183e-14,True,True,True,True,287.43554592497156,0.09830921574465923
100,40.0,29.145733740690048,6,7,12,40.68794537420877,151.8423834106235,1.0037936582778832,4.2363510974820615,0.010857127169266456,1.6786572132332367e-13,8.393286066166183e-14,True,True,True,True,390.190796463544,0.17204112755315365
100,40.0,29.145733740690048,6,10,12,40.68794537420877,151.8423834106235,1.0037936582778832,0.039476487964561796,3.4149216956436135e-05,1.6786572132332367e-13,8.393286066166183e-14,True,True,True,True,1155.9997997881362,0.2457730393616481
100,40.0,29.145733740690048,6,15,12,40.68794537420877,151.8423834106235,1.0037936582778832,1.1967474052426e-06,4.02409217059585e-11,1.6786572132332367e-13,8.393286066166183e-14,True,True,True,True,29739.56247789913,0.3686595590424721
