d,n_informative,informative_fraction,instance,n_train,gamma,alpha,epsilon,m_certified,m_observed,exact_threshold,certified_bound,observed_at_certified,bound_holds,tolerance_holds
500,150,0.3,16,300,0.005,0.1,1e-06,7,5,250,4.1102115023300725e-08,5.833050709114218e-11,True,True
500,150,0.3,17,300,0.005,0.1,1e-06,7,5,250,2.4614689052806478e-08,4.0585368399348454e-11,True,True
500,150,0.3,18,300,0.005,0.1,1e-06,7,5,250,3.622690000136945e-08,3.784905722170606e-11,True,True
500,150,0.3,19,300,0.005,0.1,1e-06,7,5,250,1.8950443509387234e-08,3.4723918185264324e-11,True,True
500,150,0.3,20,300,0.005,0.1,1e-06,7,5,250,4.5316243136377216e-08,8.727921163576013e-11,True,True
500,150,0.3,21,300,0.005,0.1,1e-06,7,5,250,1.98897359521959e-08,2.638644858166117e-11,True,True
500,150,0.3,22,300,0.005,0.1,1e-06,7,5,250,2.7143979419978657e-08,3.28808369420841e-11,True,True
500,150,0.3,23,300,0.005,0.1,1e-06,7,5,250,3.8772469398713104e-08,5.3226700824637874e-11,True,True
500,150,0.3,24,300,0.005,0.1,1e-06,7,5,250,2.776084462072254e-08,2.88360169076185e-11,True,True
500,150,0.3,25,300,0.005,0.1,1e-06,7,5,250,4.517947112032873e-08,5.3134052713232904e-11,True,True
500,150,0.3,26,300,0.005,0.1,1e-06,7,5,250,2.5929351235767994e-08,5.712225137344262e-11,True,True
500,150,0.3,27,300,0.005,0.1,1e-06,7,5,250,2.6903775026511283e-08,4.6384895924234115e-11,True,True
500,150,0.3,28,300,0.005,0.1,1e-06,7,5,250,1.9082519088082627e-08,3.3150926448399787e-11,True,True
500,150,0.3,29,300,0.005,0.1,1e-06,7,5,250,5.216051813569613e-08,5.691341842251063e-11,True,True
1000,300,0.3,0,300,0.005,0.1,1e-06,9,7,500,3.5331517912318776e-08,5.2651716320184505e-11,True,True
1000,300,0.3,1,300,0.005,0.1,1e-06,9,7,500,3.072354972393272e-08,3.5460301361922575e-11,True,True
1000,300,0.3,2,300,0.005,0.1,1e-06,9,7,500,5.755499278213703e-08,5.832069549516206e-11,True,True
1000,300,0.3,3,300,0.005,0.1,1e-06,8,7,500,8.137675205081924e-07,1.326661933087614e-09,True,True
1000,300,0.3,4,300,0.005,0.1,1e-06,9,7,500,3.200288030520644e-08,4.6438936029957745e-11,True,True
1000,300,0.3,5,300,0.005,0.1,1e-06,8,7,500,6.41926452531283e-07,1.153580397872389e-09,True,True
1000,300,0.3,6,300,0.005,0.1,1e-06,9,7,500,3.47935811297924e-08,4.613105730744138e-11,True,True
1000,300,0.3,7,300,0.005,0.1,1e-06,8,7,500,7.020595594219294e-07,1.4010026749833315e-09,True,True
1000,300,0.3,8,300,0.005,0.1,1e-06,9,7,500,3.961228662363704e-08,3.600475473319875e-11,True,True
1000,300,0.3,9,300,0.005,0.1,1e-06,8,7,500,9.8008687900235e-07,1.2481014277643254e-09,True,True
1000,300,0.3,10,300,0.005,0.1,1e-06,8,7,500,9.846686134767811e-07,1.8135200008373431e-09,True,True
1000,300,0.3,11,300,0.005,0.1,1e-06,9,7,500,3.085692941483081e-08,5.165591565603478e-11,True,True
1000,300,0.3,12,300,0.005,0.1,1e-06,9,7,500,2.6633895447689962e-08,4.040708045938146e-11,True,True
1000,300,0.3,13,300,0.005,0.1,1e-06,9,7,500,5.0264951994866754e-08,8.586442667990468e-11,True,True
1000,300,0.3,14,300,0.005,0.1,1e-06,9,7,500,2.7256284294963673e-08,3.49565168478172e-11,True,True
1000,300,0.3,15,300,0.005,0.1,1e-06,9,7,500,2.5256812794379935e-08,2.736870452491047e-11,True,True
1000,300,0.3,16,300,0.005,0.1,1e-06,8,7,500,8.635643712705667e-07,1.2460100867750512e-09,True,True
1000,300,0.3,17,300,0.005,0.1,1e-06,8,7,500,8.51807677390326e-07,3.639268331134815e-09,True,True
1000,300,0.3,18,300,0.005,0.1,1e-06,9,7,500,2.6382628861097932e-08,3.202291209980501e-11,True,True
1000,300,0.3,19,300,0.005,0.1,1e-06,8,7,500,9.865252644954715e-07,1.5181697010646644e-09,True,True
1000,300,0.3,20,300,0.005,0.1,1e-06,8,7,500,5.069754059405057e-07,1.460148557619334e-09,True,True
1000,300,0.3,21,300,0.005,0.1,1e-06,9,7,500,3.8076251106985185e-08,4.6795983754677195e-11,True,True
1000,300,0.3,22,300,0.005,0.1,1e-06,8,7,500,7.884881223074832e-07,1.8153040737267645e-09,True,True
1000,300,0.3,23,300,0.005,0.1,1e-06,9,7,500,2.4052315935570618e-08,3.3046482217358175e-11,True,True
1000,300,0.3,24,300,0.005,0.1,1e-06,8,7,500,5.048860310179527e-07,7.727508632981994e-10,True,True
1000,300,0.3,25,300,0.005,0.1,1e-06,8,7,500,7.856879375145913e-07,1.6726150325885314e-09,True,True
1000,300,0.3,26,300,0.005,0.1,1e-06,8,7,500,4.996610107184119e-07,1.2835228296870227e-09,True,True
1000,300,0.3,27,300,0.005,0.1,1e-06,9,7,500,3.639799374532571e-08,3.419893535028251e-11,True,True
1000,300,0.3,28,300,0.005,0.1,1e-06,9,7,500,2.4947812128359498e-08,2.606813376271333e-11,True,True
1000,300,0.3,29,300,0.005,0.1,1e-06,8,7,500,8.90026449038775e-07,1.514680159075965e-09,True,True
