d,instance,m_q,exact_threshold,n_train,n_informative,gamma_scale,certified_error,observed_error,rounding_floor,above_floor,informative,holds,holds_strict
100,17,8,50,300,30,10.0,0.0026035926046184153,6.093970448262098e-07,7.083222897108499e-14,True,True,True,True
100,17,10,50,300,30,10.0,1.023276501298536e-05,5.628317256700655e-10,7.083222897108499e-14,True,True,True,True
100,17,12,50,300,30,10.0,1.973516138459604e-08,1.8829382497642655e-13,7.083222897108499e-14,True,True,True,True
100,17,16,50,300,30,10.0,1.2536965809159192e-14,1.6764367671839864e-14,7.083222897108499e-14,False,False,True,False
100,18,1,50,300,30,10.0,564.4220653011182,1.2478797063387759,1.1191048088221578e-13,True,True,True,True
100,18,2,50,300,30,10.0,248.50691065018205,0.9705650827804835,1.1191048088221578e-13,True,True,True,True
100,18,3,50,300,30,10.0,85.79189656223207,0.3783719353450472,1.1191048088221578e-13,True,True,True,True
100,18,4,50,300,30,10.0,22.862970507461483,0.0849554974547555,1.1191048088221578e-13,True,True,True,True
100,18,5,50,300,30,10.0,4.708006776630156,0.012459080789369636,1.1191048088221578e-13,True,True,True,True
100,18,6,50,300,30,10.0,0.757179475915664,0.0012782768599000072,1.1191048088221578e-13,True,True,True,True
100,18,8,50,300,30,10.0,0.009916982311514973,5.498381641766414e-06,1.1191048088221578e-13,True,True,True,True
100,18,10,50,300,30,10.0,5.8192907910695736e-05,8.481003899163397e-09,1.1191048088221578e-13,True,True,True,True
100,18,12,50,300,30,10.0,1.7091112125304623e-07,5.093703236980218e-12,1.1191048088221578e-13,True,True,True,True
100,18,16,50,300,30,10.0,2.6027804895738126e-13,2.55351295663786e-14,1.1191048088221578e-13,False,True,True,True
100,19,1,50,300,30,10.0,353.1106242517641,1.004175533912506,6.616929226765933e-14,True,True,True,True
100,19,2,50,300,30,10.0,143.37104823161403,0.5915857425852122,6.616929226765933e-14,True,True,True,True
100,19,3,50,300,30,10.0,43.93507082232483,0.18383122616095693,6.616929226765933e-14,True,True,True,True
100,19,4,50,300,30,10.0,10.030033837606359,0.03309465012431079,6.616929226765933e-14,True,True,True,True
100,19,5,50,300,30,10.0,1.7181970256990715,0.004009486866637824,6.616929226765933e-14,True,True,True,True
100,19,6,50,300,30,10.0,0.22470106307231552,0.00034537143616297783,6.616929226765933e-14,True,True,True,True
100,19,8,50,300,30,10.0,0.0018554325629314364,1.009880825075804e-06,6.616929226765933e-14,True,True,True,True
100,19,10,50,300,30,10.0,6.591618873720031e-06,9.779251852748416e-10,6.616929226765933e-14,True,True,True,True
100,19,12,50,300,30,10.0,1.14403916852741e-08,3.560485239972877e-13,6.616929226765933e-14,True,True,True,True
100,19,16,50,300,30,10.0,5.842685999276543e-15,1.4654943925052066e-14,6.616929226765933e-14,False,False,True,False
100,20,1,50,300,30,10.0,458.2184966836186,1.2784319418860903,1.0302869668521453e-13,True,True,True,True
100,20,2,50,300,30,10.0,193.79319620678564,0.9098491004469512,1.0302869668521453e-13,True,True,True,True
100,20,3,50,300,30,10.0,63.06342230945899,0.3118081840347253,1.0302869668521453e-13,True,True,True,True
100,20,4,50,300,30,10.0,15.561785086125655,0.06168140970274183,1.0302869668521453e-13,True,True,True,True
100,20,5,50,300,30,10.0,2.923374617911724,0.007969403242909179,1.0302869668521453e-13,True,True,True,True
100,20,6,50,300,30,10.0,0.4239074626088031,0.0007152743948763973,1.0302869668521453e-13,True,True,True,True
100,20,8,50,300,30,10.0,0.00440260085441497,2.22285238926645e-06,1.0302869668521453e-13,True,True,True,True
100,20,10,50,300,30,10.0,2.005215195357223e-05,2.258686349065897e-09,1.0302869668521453e-13,True,True,True,True
100,20,12,50,300,30,10.0,4.512492589625054e-08,8.912870441690757e-13,1.0302869668521453e-13,True,True,True,True
100,20,16,50,300,30,10.0,3.947651277591554e-14,2.2870594307278225e-14,1.0302869668521453e-13,False,False,True,True
100,21,1,50,300,30,10.0,482.70505249165336,0.7652118005545829,7.149836278586008e-14,True,True,True,True
100,21,2,50,300,30,10.0,211.17312669437365,0.6207859460661008,7.149836278586008e-14,True,True,True,True
100,21,3,50,300,30,10.0,72.22203118305795,0.2655429991705447,7.149836278586008e-14,True,True,True,True
100,21,4,50,300,30,10.0,19.01258534406904,0.06637774718969092,7.149836278586008e-14,True,True,True,True
